chunk_id,page_number,chunk_index,unit_number,unit_title,lesson_number,lesson_title,lesson_start_page,lesson_end_page,content_length,text_quality,content,source_file,content_category
语文三上.pdf_page_11_chunk_1,11,0,1,第1单元,2,花的学校,10,12,255,"{'score': 0.9880392156862746, 'is_suitable': True, 'reason': '长度适中, 教育相关'}",朗读课文，想象花在绿草上跳舞，狂欢的情景。 读课文的时候，你注意到下面加点的部分了吗？ 湿润的东风走过荒野 3 ，在竹林中吹着风笛 3 。 树枝在林中互相碰触 3 着，绿叶在狂风里簌 簌地响，雷云拍着 大手 3 。 雨一来，他们便放假了。你喜欢这样的表达吗？请你照样子写 一写，如，清风一吹，他们蝴蝶一来，他们。 罚假 泰戈尔（18611941），享誉世界的 印度作家、诗人，曾获1913年诺贝尔文 学奖，有《飞鸟集》《园丁集》等五十 多部诗集出版。本文选自泰戈尔的诗集 《新月集》。 资料袋,data/textbooks/语文三上.pdf,练习
语文三上.pdf_page_12_chunk_1,12,0,1,第1单元,3,不懂就要问,12,13,374,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",不懂就要问 本文选自《新学制小学教科书高级国语读本第一册》，有改动。 孙中山小时候在私 书。那时候上课，先生念，学 生跟着念，咿 咿呀呀，像唱歌 一样。学生读熟了，先生就让 他们一个一个地背 。至于书 里的意思，先生从来不讲。 一天，孙中山来到学校， 照例 把书放到先生面前，流利 地背出前一天所学的功课。先 生听了，连连点头。接着，先生在孙中山的书上又圈 了一 段，他念一句，叫孙中山念一句。孙中山会读了，就回到座 位上练习背诵。孙中山读了几遍，就背下来了。可是，书里 说的是什么意思，他一点儿也不懂。孙中山想：这样糊 里糊 地背，有什么用呢？于是，他壮着胆子站起来，问：先 生，您刚才让我背的这段书是什么意思？请您给我讲讲吧！ 默读课文，想想课文讲了一件什么事，和同学交流你 对这件事的看法。把有新鲜感的词句画下来和同学交流。,data/textbooks/语文三上.pdf,交流
语文三上.pdf_page_13_chunk_1,13,0,1,第1单元,3,不懂就要问,12,13,300,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}","这一问，把正在摇头晃脑高 声念书的同学们吓呆 了，课堂里 时变得鸦雀无声。 先生拿着戒 尺，走到孙中 山跟前，厉 声问道：你会背了 吗？ 会背了。孙中山说着，就 把那段书一字不漏地背了出来。 先生收起戒尺，摆摆手让孙中山坐下，说： 我原想， 书中的道理，你们长大了自然会知道的。现在你们既然想 听，我就讲讲吧！ 先生讲得很详细，大家听得很认真。 后来，有个同学问孙中山：你向先生提出问题，不怕 打吗？ 孙中山笑了笑，说： 学问学问，不懂就要问。为了弄 清楚 道理，就是挨打也值得。
如果有个别的字 不认识、个别的词语 不理解，也没有关系。 略读课文可以 读得粗略一些，了 解课文大意就行。",data/textbooks/语文三上.pdf,课文
语文三上.pdf_page_14_chunk_1,14,0,2,第2单元,,我的暑假生活,14,15,240,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",我的暑假生活 暑假你是怎么度过的？经历了哪些新鲜事？和同学分享一下吧！ 我跟爷爷奶奶学 会了做简单的农活。 现在我会摘茄子，还 会给菜地锄草 妈妈带我去了游乐园。这 是我第一次坐摩天轮，从空中 往下看，视野一下子开阔了， 地上的人和车都变小了 选择别人可能感兴趣的 内容讲。 借助图片或实物讲。 想好要讲的内容以后，先试着给家人讲一讲，听听他们有什么 建议。 和同学交流的时候，要把自己的经历讲清楚。讲的时候可以出 示相关的图片或实物，帮助别人更好地理解你讲的内容。 口语交际,data/textbooks/语文三上.pdf,交流
语文三上.pdf_page_15_chunk_1,15,0,2,第2单元,,猜猜他是谁,15,15,287,"{'score': 0.9672473867595819, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",猜猜他是谁 我们来做一个猜猜他是谁的游戏吧！ 选择一个同学，用几句话或一段话写一写他。不能在文中出现 他的名字，但是要让别人读了你写的内容就能猜出你写的是谁。 你选的是谁？他有哪些特别的地方？选择一两点写下来。 写的时候，注意开头要空两格。写好以后，读给同学听，看 看他们能不能猜出你写的是谁。也可以把全班同学的习作贴在墙报 上，大家一起来猜一猜。 他的头发又黑 又硬，一根根向上 竖着 他特别爱笑， 一个小笑话就能让 他笑个不停 他关心班里的 每个人，不管是谁 遇到困难，他都会 主动帮忙。有一 次 习 作 他酷爱踢足 球，也喜欢跑步， 经常能在操场上 看到他奔跑的身 影,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_16_chunk_1,16,0,2,第2单元,,语文园地,16,18,320,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",语文园地 交流平台 窗外十分安静，树枝不摇了， 鸟儿不叫了，蝴蝶停在花朵上，好 像都在听同学们读课文。 看到这样的词 句，我会多读几遍， 然后抄写下来。 我在读书时， 常常读到一些很有 新鲜感的词句。 词句段运用 下面的成语有什么特点？和同学交流你的发现。 摇头晃脑 披头散发 张牙舞爪 提心吊胆 面红耳赤 手忙脚乱 眼疾 手快 口干舌燥 怎样朗读能更好地表达句子的意思？想一想，练一练，然后和 同学交流。 妈妈，我真的觉得那些花朵是在地下的学校里上学。 书里说的是什么意思，他一点儿也不懂。 孙中山笑了笑，说：学问学问，不懂就要问。为了弄清楚 道理，就是挨打也值得。 我愿意我是一个更夫，整夜在 街上走，提了灯去追逐影子。,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_17_chunk_1,17,0,2,第1单元,,所 见,16,18,169,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}","日积月累
所 见 清 袁 枚 童骑黄牛， 歌声振 林樾 意欲捕鸣蝉， 忽然闭口立。 我在名字中加入 有个性的词语，让人 一看就能记住。 我为兴趣小组 取的名字能体现出 活动的特点。 篮球侠 巧手剪纸组 探索者小队 黑白棋社 鲲鹏航模队 在班里组织几个兴趣小组吧！试着给每个兴趣小组取个响亮的 名字，吸引有相同爱好的同学一起开展活动。",data/textbooks/语文三上.pdf,日积月累
语文三上.pdf_page_18_chunk_1,18,0,2,第2单元,,金秋的阳光,19,22,54,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",金秋的阳光， 洒在树叶上， 洒在花瓣上， 也洒在我们的心上。 运用多种方法理解难懂的词语。 学习写日记。,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_19_chunk_1,19,0,2,第2单元,4,古诗三首,19,22,195,"{'score': 0.915897435897436, 'is_suitable': True, 'reason': '长度适中'}","山 行 唐 杜 牧 远上寒山石径 白云生处有人家。 停车坐爱枫林晚， 霜叶红于二月花。 注释 〔寒山〕深秋时节的山。 〔生〕产生，生出。 〔坐〕因为。
赠刘景文 宋 苏轼 荷尽已无擎 雨盖， 菊残 有傲 霜枝。 一年好景君 须记， 最是橙 黄橘 绿时。 注释 〔刘景文〕诗人的好朋友。 〔擎〕举，向上托。 〔君〕对对方的尊称，相 当于您。",data/textbooks/语文三上.pdf,日积月累
语文三上.pdf_page_20_chunk_1,20,0,2,第2单元,4,古诗三首,19,22,227,"{'score': 0.9944933920704847, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",夜书所见 宋 叶绍翁 萧萧梧叶送寒声， 江上秋风动客情。 知有儿童挑 织， 夜深篱 落一灯明。 注释 〔萧萧〕这里形容风吹梧 桐叶发出的声音。 〔挑〕用细长的东西拨弄。 〔促织〕蟋蟀，也叫蛐蛐。 〔篱落〕篱笆。 有感情地朗读课文。背诵课文。默写《山行》。 这三首诗写的是哪个季节的景色？你是从哪些地方发现的？ 结合注释，用自己的话说说下面诗句的意思。 停车坐爱枫林晚，霜叶红于二月花。 一年好景君须记，最是橙黄橘绿时。,data/textbooks/语文三上.pdf,日积月累
语文三上.pdf_page_21_chunk_1,21,0,2,第2单元,5,铺满金色巴掌的水泥道,22,25,395,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}","本文作者张秋生，选作课文时有改动。 铺满金色巴掌的水泥道
一夜秋风，一夜秋雨。 我背着书包去上学时，天开始放晴了。 啊！多么明朗的天空。 可是，地面还是潮湿的，不时还能看见一个亮晶晶的 水洼 ，映着一角小小的蓝天。 道路两旁的法国梧桐树，掉下了一片片金黄金黄的叶子。 这一片片闪着雨珠的叶子，一掉下来，便紧紧地粘在湿漉 漉的水泥道上了。 我走在院墙外的水泥道上。水泥道像铺上了一块彩色 的地毯。这是一块印 着落叶图案的、闪闪发光的地毯，从 脚下一直铺到很远很远的地方，一直到路的尽头 每一片法国梧桐树的落叶，都像一个金色的小巴掌， 地、平展地粘在水泥道上。它们排列得并不规则，甚 至有些凌 乱，然而，这更增 添了水泥道的美。 我一步一步小心地走着，一片一片仔细地数着。我穿 着一双棕 红色的小雨靴 。你瞧，这多像两只棕红色的小鸟， 在秋天金黄的叶丛间，愉快地蹦跳着，歌唱着",data/textbooks/语文三上.pdf,阅读
语文三上.pdf_page_22_chunk_1,22,0,2,第2单元,5,铺满金色巴掌的水泥道,22,25,62,"{'score': 0.9645161290322581, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",要不是怕上课迟到，我会走得很慢很慢的。 一夜秋风，一夜秋雨。 当我背着书包去上学时，第一回觉得，门前的水泥道 真美啊！ 乱棕,data/textbooks/语文三上.pdf,练习
语文三上.pdf_page_23_chunk_1,23,0,2,第2单元,5,铺满金色巴掌的水泥道,22,25,314,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",朗读课文。把你喜欢的句子抄写下来。 下面加点的词语你是用什么方法理解的？和同学交流。 啊！多么明朗 3 的天空。 它们排列得并不规则，甚至有些凌 3 乱 3 。 小练笔 铺满金色巴掌的水泥道，多美的发现啊！你在上学或放 学路上看到了什么样的景色？用几句话写下来吧。 阅读链接 从我家到小学要经过一条大街，一条曲曲弯弯的巷子。我 放学回家喜欢东看看，西看看，看看那些手工作坊、布店、酱 园、杂货店、爆仗店、烧饼店、卖石灰麻刀的铺子、染坊 我到银匠店里去看银匠在一个模子上錾出一个小罗汉，到竹器 厂看师傅怎样把一根竹竿做成筢草的筢子，到车匠店看车匠用 硬木车旋出各种形状的器物，看灯笼铺糊灯笼百看不厌。 选自汪曾祺的《自报家门》,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_24_chunk_1,24,0,2,第2单元,6,秋天的雨,22,25,360,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",秋天的雨，是一把钥 。它带着清凉和温柔，轻轻地， 轻轻地，趁你没留意，把秋天的大门打开了。 秋天的雨，有一盒五彩缤 纷的颜料。你看，它把黄色 给了银杏树，黄黄的叶子像一把把小扇子，扇哪扇哪，扇 走了夏天的炎热。它把红色给了枫树，红红的枫叶像一枚 枚邮票，飘哇飘哇，邮来了秋天的凉爽 。金黄色是给田野 的，看，田野像金色的海洋。橙红色是给果树的，橘子、 柿子你挤 我碰，争着要人们去摘呢！ 菊花仙子得到的颜色就更多了，紫红 的、淡黄的、雪白的美丽的菊花 在秋雨里频 频点头。 秋天的雨，藏着非常好闻的气味。梨 香香的，菠萝 甜的，还有苹果、橘子，好多好多香甜的气味，都躲在小 雨滴里呢！小朋友的脚，常被那香味勾 住。,data/textbooks/语文三上.pdf,课文
语文三上.pdf_page_25_chunk_1,25,0,2,第2单元,6,秋天的雨,22,25,274,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}","秋天的雨，吹起了金色的小喇 。它告诉大家，冬天 快要来了。小松鼠找来松果当粮食，小青蛙在加紧挖洞， 准备舒舒服服地睡大觉。松柏穿上厚 厚的、油亮亮的衣 裳，杨树、柳树的叶子飘到树妈妈的脚下。它们都在准备 过冬了。 秋天的雨，带给大地的是一曲 收的歌，带给小朋友 的是一首欢乐的歌。
争仙闻 油曲 有感情地朗读课文。背诵第2自然段。 课文从哪几个方面写了秋天？和同学交流你感兴趣的内容。 想象一下，秋天的雨还会把颜色分给谁呢？照样子写一写。 它把黄色给了银杏树，黄黄的叶子像一把把小扇子，扇哪 扇哪，扇走了夏天的炎热。",data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_26_chunk_1,26,0,3,第2单元,,阅读链接 ,28,32,482,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",阅读链接 秋分过后，黑夜就渐渐比白天长了，缺乏阳光的寒冷时节 又开始了。 田野里空荡荡的，夏天太阳所赐予的物产已经收获完毕， 许多植物已经褪色或枯死。在植物和动物适应冬季以前，迁徙 的季节来临了。 植物的种子和果实在传播。许多种子装备着小小的翅膀或 是降落伞，比如蓟类植物，风把它们的种子从妈妈那里带 走，吹到尽可能远的地方。地上到处都是新的种子。如果所有 的种子都落在同一个地方，它们就会互相抢夺地盘和阳光。 许多幼小的动物正在成长。它们离开了父母，自己去找一 处新的住所。小蜘蛛用闪闪发亮的丝将自己悬挂在空中，有时 候它们远离原来的巢穴，到几公里之外搭建新家，有时候它们 就直接在遇到的第一根树枝上安家。 候鸟也开始了它们的旅途。随着秋天的光照时间一天天变 短，候鸟的生物钟催促着它们：是时候了，出发吧！它们 向着太阳，飞向那白昼更长、气候更温暖的南方。燕子早早地 启程了，因为它知道，要不了多久，这里将没有昆虫可吃。金 翅雀是一种以蓟类植物为生的雀鸟，它会停留更长的时间，直 到大雪覆盖它最爱吃的食物蓟类植物的种子。 选自德国乌纳雅各布的《太阳时钟》，顾白译,data/textbooks/语文三上.pdf,阅读
语文三上.pdf_page_27_chunk_1,27,0,3,第2单元,7,听听，秋的声音,28,32,177,"{'score': 0.9968926553672317, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",本诗作者毕国瑛，选作课文时有改动。 听听，秋的声音 有感情地朗读课文，一边读一边想象，然后和同学交 流：你听到了秋天的哪些声音？ 听听， 秋的声音， 大树抖 抖手臂， 唰 唰， 是黄叶道别的话音。 听听， 秋的声音， 动翅膀， ， 是和阳台告别的歌韵 一排排大雁追上白云， 撒下一阵暖暖的叮咛； 一阵阵秋风掠 过田野， 送来一片丰收的歌吟,data/textbooks/语文三上.pdf,练习
语文三上.pdf_page_28_chunk_1,28,0,3,第2单元,7,听听，秋的声音,28,32,123,"{'score': 0.9463414634146342, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",听听， 走进秋， 走进这辽 透明的音乐厅， 你好好地去听 秋的声音。 秋的声音， 在每一片叶子里， 在每一朵小花上， 在每一滴汗水里， 在每一颗饱满的谷粒里。 听听， 秋的声音， 从远方匆匆地来， 向远方匆匆地去。 听听， 我们去听秋的声音。,data/textbooks/语文三上.pdf,其他
语文三上.pdf_page_29_chunk_1,29,0,3,第2单元,,写日记,28,32,235,"{'score': 0.9557446808510639, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",写日记 你写过日记吗？读读下面的日记，说说你有什么发现。 和同学交流： 写日记有什么好处？ 日记里可以写些什么？ 日记的格式是怎样的？ 准备一个日记本，开始写日记吧！坚持写下去，你一定会大有 收获。 8月20日 星期一 晴 早上起床时，我发现那颗松动的牙 齿更松了。我想把它摇掉，可是左摇右 摇，牙齿就是不掉。唉！怎么办呢？这 颗摇摇欲坠的牙齿让我感觉很难受。晚 饭前，我忍不住又去晃动它，晃了几下， 啊，终于掉了！ 妈妈把我的这颗牙齿洗干净，收起 来了。 习 作,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_30_chunk_1,30,0,3,第2单元,,语文园地 ,28,32,222,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",语文园地 分小组完成下面的活动，看看哪个小组总结的方法多。 交流平台 词句段运用 你会用哪些词语来形容不同的季节？写下来和同学交流。 春：暖和 春光明媚 夏： 秋： 冬： 说说你是用什么方法理解下面加点词语意思的。 听了老师的这番 话，我憧憬 3 着即 将到来的一天，期待着在活 动中有出色的表现。 小明打碎 了家里的花瓶 ，心中有些忐忑不安 3 ，害怕爸爸妈妈 会责备他。 读书的时候，如 果遇到不理解的词 语，我会这样做 查字典,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_31_chunk_1,31,0,3,第2单元,,书写提示 ,33,34,116,"{'score': 0.9517241379310345, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",书写提示 日积月累 秋高气爽 天高云淡 秋风习习 一叶知秋 金桂飘香 层林尽染 五谷丰登 果实累 累 春华秋实 使用钢笔，注意执 笔姿势，把字写得规范、 端正、整洁。 横画要写得平稳， 竖画要写得端正。横平 竖直，字就平稳端正。,data/textbooks/语文三上.pdf,日积月累
语文三上.pdf_page_32_chunk_1,32,0,3,第3单元,,想象的翅膀,33,34,59,"{'score': 0.952542372881356, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",乘着想象的翅膀， 游历奇妙的童话王国， 看花儿跳舞， 听星星歌唱。 感受童话丰富的想象。 试着自己编童话，写童话。,data/textbooks/语文三上.pdf,习作
语文三上.pdf_page_33_chunk_1,33,0,3,第3单元,8,卖火柴的小女孩,33,34,420,"{'score': 1.0, 'is_suitable': True, 'reason': '长度适中, 中文为主, 教育相关'}",卖火柴的小女孩 本文作者是丹麦的安徒生，译者叶君健，选作课文时有改动。 天冷极了，下着雪，又快黑了。这是一年的最后一夜。 在这又冷又黑的晚上，一个穷苦的小女孩，没戴帽子，赤 着脚在街上走着。她从家里出来的时候还穿着一双拖鞋， 但是有什么用呢？那是一双很大的拖鞋那么大，一向 是她妈妈穿的。她穿过马路的时候，两辆马车飞快地冲过 来，吓得她把鞋都跑掉了。一只怎么也找不着，另一只叫 一个男孩捡 起来拿着跑了。他说，将来他有了孩子可以用 它当摇篮。 小女孩只好赤着脚走，一双小脚冻得红一块青一块的。 她的旧 围裙里兜 着许多火柴，手里还拿着一把。这一整天， 谁也没买过她一根火柴，谁也没给过她一个硬币。 可怜的小女孩！她又冷又饿 ，哆 哆嗦 嗦地向前走。雪 花落在她金黄的长头发上，那头发打成卷 披在肩上，看上 去很美丽，不过她没注意这些。每个窗子里都透出灯光来， 街上飘着一股烤鹅 的香味，因为这是一年的最后一夜 她可忘不了这个。,data/textbooks/语文三上.pdf,阅读
语文三上.pdf_page_34_chunk_1,34,0,3,第3单元,8,卖火柴的小女孩,33,34,290,"{'score': 0.9600000000000001, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",她在一座房子的墙角坐下来，蜷 着腿缩 成一团。她觉 得更冷了。她不敢回家，因为她没卖掉一根火柴，没挣 一个钱，爸爸一定会打她的。再说，家里跟街上一样冷。 他们头上只有个房顶，虽然最大的裂缝已经用草和破布堵 住了，但风还是可以灌进来。 她的一双小手几 乎冻僵 了。啊，哪怕一根小小的火柴， 对她也是有好处的！她敢从成把的火柴里抽出一根，在墙 上擦燃 了，来暖和暖和自己的小手吗？她终于抽出了一根。 ！火柴燃起来了，冒出火焰 来了！她把小手拢 在火焰上。 多么温暖多么明亮的火焰啊，简 直像一支小小的蜡 。这 是一道奇异的火光！小女孩觉得自己好像坐在一个大火炉,data/textbooks/语文三上.pdf,课文
语文三上.pdf_page_35_chunk_1,35,0,3,第3单元,8,卖火柴的小女孩,35,37,529,"{'score': 0.6640831758034027, 'is_suitable': True, 'reason': '中文为主'}",前面，火炉装着闪亮的铜脚和铜把手，烧得旺旺的，暖烘 烘的，多么舒服啊！唉，这是怎么回事呢？她刚把脚伸出 去，想让脚也暖和一下，火柴灭了，火炉不见了。她坐在 那儿，手里只有一根烧过了的火柴梗 她又擦了一根。火柴燃起来了，发出亮光来了。亮光 落在墙上，那儿忽然变得像薄 纱那么透明，她可以一直看 到屋里。桌上铺着雪白的台布，摆着精致的盘 子和碗，肚 子里填满了苹果和梅子的烤鹅正冒着香气。更妙 的是这只 鹅从盘子里跳下来，背上插着刀和叉 ，摇摇摆摆地在地板 上走着，一直向这个穷苦的小女孩走来。这时候，火柴灭 了，她面前只有一堵又厚又冷的墙。 她又擦着了一根火柴。这一回，她坐在美丽的圣 下。这棵圣诞树，比她去年圣诞节透过富 商家的玻璃门看 到的还要大，还要美。翠绿的树枝上点着几千支明晃 晃的 蜡烛，许多幅美丽的彩色画片，跟挂在商店橱 窗里的一个 样，在向她眨 眼睛。小女孩向画片伸出双手。这时候，火 柴又灭了。只见圣诞树上的烛光越升越高，最后成了在天 空中闪烁 的星星。有一颗星星落了下来，在天空中划 出了 一道细长的红光。有一个什么人快要死了。小女孩说。 一疼她的奶奶活着的时候告诉过她：一颗星星落下来， 就有一个人要离去了。,data/textbooks/语文三上.pdf,课文
语文三上.pdf_page_36_chunk_1,36,0,3,第3单元,8,卖火柴的小女孩,35,37,246,"{'score': 0.9609756097560976, 'is_suitable': True, 'reason': '长度适中, 中文为主'}",她在墙上又擦着了一根火柴。这一回，火柴把周围全 照亮了。奶奶出现在亮光里，是那么温和，那么慈爱。奶 奶！小女孩叫起来，啊！请把我带走吧！我知道，火柴 一灭，您就会不见的，像那暖和的火炉，喷 香的烤鹅，美 丽的圣诞树一样，就会不见的！ 她赶紧擦着了一大把火柴，要把奶奶留住。一大把火 柴发出强 烈的光，照得跟白天一样明亮。奶奶从来没有像 现在这样高大，这样美丽。奶奶把小女孩抱起来，搂 在怀 里。她俩在光明和快乐中飞走了，越飞越高，飞到那没有 寒冷，没有饥 饿，也没有痛苦的地方去了。,data/textbooks/语文三上.pdf,课文
